epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4104.69,1.63034,1.27512,0.98701,0.60126,0.57332,0.60094,0.41739,1.56569,1.17323,0.97731,0.000451618,0.000451618,0.000451618
43,4185.02,1.63183,1.27981,0.97755,0.59561,0.57577,0.59299,0.417,1.56646,1.15284,0.97462,0.000448291,0.000448291,0.000448291
44,4422.67,1.60688,1.24235,0.98137,0.65241,0.54374,0.59103,0.40812,1.56629,1.16557,0.97214,0.000444965,0.000444965,0.000444965
45,4494.65,1.64097,1.25632,0.97491,0.60677,0.59023,0.60624,0.42023,1.56224,1.13838,0.97308,0.000441638,0.000441638,0.000441638
46,4631.84,1.63524,1.24374,0.98165,0.65125,0.55002,0.60036,0.41219,1.58509,1.16046,0.97547,0.000438312,0.000438312,0.000438312
47,4721.8,1.63859,1.24818,0.98307,0.63613,0.57877,0.61444,0.43258,1.55928,1.13749,0.97043,0.000434986,0.000434986,0.000434986
48,4777.55,1.62359,1.22323,0.97357,0.6753,0.56626,0.61894,0.43283,1.55135,1.12137,0.96731,0.000431659,0.000431659,0.000431659
49,4846.66,1.59672,1.20397,0.97207,0.66024,0.56392,0.61348,0.42608,1.5585,1.14463,0.97089,0.000428333,0.000428333,0.000428333
50,4903.47,1.60374,1.21327,0.97419,0.66427,0.57432,0.61049,0.42974,1.56317,1.11921,0.97423,0.000425006,0.000425006,0.000425006
51,5012.27,1.59353,1.19891,0.98244,0.66216,0.58786,0.62863,0.44295,1.55399,1.11446,0.96818,0.00042168,0.00042168,0.00042168
52,5203.07,1.6088,1.19889,0.97548,0.69952,0.58621,0.63202,0.44082,1.54674,1.10495,0.96883,0.000418354,0.000418354,0.000418354
53,5300.93,1.59397,1.18533,0.9693,0.67556,0.58425,0.62469,0.4403,1.54178,1.109,0.96604,0.000415027,0.000415027,0.000415027
54,5497.4,1.61556,1.20582,0.96954,0.69507,0.5704,0.6291,0.44211,1.53174,1.09788,0.96264,0.000411701,0.000411701,0.000411701
55,5562.61,1.55825,1.16089,0.96777,0.67195,0.59659,0.6414,0.45225,1.53859,1.09211,0.96611,0.000408374,0.000408374,0.000408374
56,5673.26,1.60366,1.17464,0.9681,0.69446,0.59537,0.6532,0.46584,1.53464,1.08192,0.96504,0.000405048,0.000405048,0.000405048
57,5750.76,1.58843,1.16636,0.9648,0.6878,0.6132,0.65677,0.46738,1.52835,1.07444,0.96008,0.000401722,0.000401722,0.000401722
58,5815.5,1.57601,1.15646,0.96795,0.71457,0.61001,0.663,0.4736,1.52172,1.06712,0.96188,0.000398395,0.000398395,0.000398395
59,5905.94,1.5669,1.1293,0.95968,0.71771,0.60542,0.66621,0.47391,1.52086,1.04825,0.96092,0.000395069,0.000395069,0.000395069
60,6086.75,1.5695,1.14185,0.96233,0.71955,0.61653,0.66656,0.46875,1.54539,1.06164,0.96281,0.000391742,0.000391742,0.000391742
61,6141.99,1.58737,1.15437,0.96458,0.71256,0.60551,0.65972,0.46577,1.51296,1.06091,0.95757,0.000388416,0.000388416,0.000388416
62,6206.16,1.58099,1.12993,0.96562,0.71227,0.61876,0.66679,0.47981,1.50938,1.04459,0.95889,0.00038509,0.00038509,0.00038509
63,6272.3,1.54296,1.11799,0.95819,0.71382,0.63101,0.67641,0.48645,1.49602,1.03415,0.95525,0.000381763,0.000381763,0.000381763
64,6377.04,1.57501,1.13458,0.96591,0.7005,0.61457,0.66884,0.47176,1.50743,1.08571,0.95626,0.000378437,0.000378437,0.000378437
65,6440.05,1.54165,1.10769,0.96509,0.72028,0.63321,0.68132,0.48751,1.51264,1.04147,0.95521,0.00037511,0.00037511,0.00037511
66,6530.67,1.53991,1.09929,0.9571,0.72274,0.64108,0.68049,0.48316,1.5093,1.02887,0.95944,0.000371784,0.000371784,0.000371784
67,6593.43,1.54283,1.09476,0.96321,0.74871,0.62163,0.68144,0.47798,1.49228,1.02354,0.95488,0.000368458,0.000368458,0.000368458
68,6659.56,1.56435,1.13115,0.95758,0.7099,0.62395,0.67374,0.48665,1.49543,1.02607,0.9536,0.000365131,0.000365131,0.000365131
69,6741.3,1.55534,1.10292,0.95182,0.7684,0.62022,0.68532,0.48988,1.48762,1.02566,0.95318,0.000361805,0.000361805,0.000361805
70,6822.64,1.53089,1.08759,0.95401,0.7417,0.62866,0.6888,0.49496,1.49018,1.01866,0.9524,0.000358478,0.000358478,0.000358478
71,6878.52,1.54976,1.09668,0.95111,0.73387,0.62209,0.67406,0.47951,1.5154,1.03367,0.95699,0.000355152,0.000355152,0.000355152
72,6990.1,1.53681,1.08145,0.96086,0.74469,0.6291,0.68768,0.49114,1.50232,1.01181,0.95509,0.000351826,0.000351826,0.000351826
73,7076.67,1.556,1.08753,0.95597,0.7361,0.6368,0.69662,0.4917,1.48524,1.00308,0.95064,0.000348499,0.000348499,0.000348499
74,7211.87,1.51457,1.06733,0.95081,0.71799,0.64451,0.68935,0.49651,1.47342,1.00373,0.95023,0.000345173,0.000345173,0.000345173
75,7341.03,1.53824,1.07727,0.94791,0.809,0.61833,0.69626,0.49817,1.48838,1.00826,0.95184,0.000341846,0.000341846,0.000341846
76,7396.55,1.53071,1.07865,0.95119,0.75849,0.64874,0.70178,0.50551,1.48174,0.99421,0.94798,0.00033852,0.00033852,0.00033852
77,7530.27,1.52848,1.07205,0.94867,0.72092,0.65136,0.69704,0.50138,1.4769,1.00096,0.9488,0.000335194,0.000335194,0.000335194
78,7596.48,1.51148,1.05143,0.95653,0.79238,0.62241,0.70179,0.50298,1.48769,0.98833,0.94998,0.000331867,0.000331867,0.000331867
79,7670.67,1.50915,1.04523,0.94848,0.7619,0.65734,0.70963,0.50644,1.49315,0.98114,0.95081,0.000328541,0.000328541,0.000328541
